,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,ingredient,meal
0,Breakfast Bagel Sandwich,1 EA,552,175,19.4g,8.1g,0g,148.7mg,1103.5mg,28.3g,66.7g,3.6g,10.1g,19%,13%,10%,0%,"EGG WHITES (egg whites, guar gum and triethyl citrate added as whipping aids.), EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), Deli cheeses* (JALAPENO CHEESE (monterey jack and american cheeses (milk, cheese cultures, salt, enzymes), water, cream, sweet red bell peppers, jalapeno peppers, salt, sodium phosphate, sorbic acid (preservative), added color, natural flavor  contains: milk ), MUENSTER CHEESE (pasteurized milk, cheese culture, salt, enzymes, annatto (color).), CHEDDAR CHEESE (pasteurized milk, cheese culture, salt, enzymes, annatto color.), PROVOLONE CHEESE (pasteurized milk, cheese cultures, salt, enzymes. contains: milk.), SWISS CHEESE (pasteurized part-skim milk, cheese culture, salt, and enzymes.), AMERICAN CHEESE (cultured milk and skim milk, water, cream, sodium citrate, salt, sodium  phosphate, sorbic acid (preservative), citric acid, artificial color,  acetic acid, enzymes, soy lecithin (for slice separation).  contains: milk, soy.)), PLAIN BAGEL (flour (wheat flour, malted barley flour), water, sugar, contains less than 2% of the following: salt, degerminated yellow corn meal, yeast, guar & xanthan gum blend, inactive dry yeast, soybean oil, ascorbic acid added as a dough conditioner, enzymes. ), 100% WHOLE WHEAT BAGEL (whole wheat flour, water, sugar, less than 2% of: degerminated yellow  corn meal, salt, yeast, sodium stearoyl lactylate, ascorbic acid added  as dough conditioner, l-cysteine, enzymes.), BLUEBERRY BAGEL (flour (wheat flour, malted barley flour), water, sugar, contains less than 2% of each of the following: salt, degerminated yellow corn meal, dried blueberries, yeast, canola oil, wheat starch, guar & xanthan gum blend, bextrose, elderberry juice concentrate, inactive dry yeast, natural flavor, baking soda, soybean oil, ascorbic acid added as a dough conditioner, enzymes  contains: wheat, soy), CINNAMON RAISIN BAGEL (flour (wheat flour, malted barley flour), water, raisins, sugar, contains less than 2% of each of the following:  salt, degerminated yellow corn meal, cinnamon, wheat starch, yeast, guar & xanthan gum blend, inactive dry yeast, palm oil, natural flavor, caramel color, soybean oil, ascorbic acid added as a dough conditiner, enzymes  contains: wheat, soy), EVERYTHING BAGEL (flour (wheat flour, malted barley flour), water, sugar, contains less than 2% of each of the following: salt, sesame seeds, poppy seeds, dehydrated onion, dehydrated garlic, degerminated yellow corn meal, yeast, guar and xanthan gum blend, inactive dry yeast, soybean oil, ascorbic acid added as a dough conditioner, enzymes.  contains: wheat, soy ), HAM (easy slice carving ham cured with water, salt, sodium lactate, sugar, sodium phosphate, sodium  diacetate, sodium erythorbate, sodium nitrite.), PORK SAUSAGE (pork, water, salt, spices, and sugar.), BACON (bacon cured with water, salt, sugar, sodium phosphates, sodium  erythorbate, sodium nitrite.)",breakfast
1,Cinnamon Cream Cheese Cup*,1 EACH,199,145,16.1g,9.1g,0.5g,51.6mg,150.7mg,2.8g,12.2g,0.2g,11.5g,5%,1%,13%,0%,"Cinnamon Cream Cheese Mix (CREAM CHEESE (pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums). contains: milk ), BROWN SUGAR (brown sugar (cane sugar, cane syrups)), CINNAMON)",breakfast
2,"Cream Cheese, Chive*",1 OZ,75,66,7.3g,4.1g,0.2g,23.4mg,68.4mg,1.5g,1.2g,0.2g,0.8g,3%,1%,12%,7%,"CREAM CHEESE (pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums). contains: milk ), CHIVES",breakfast
3,Donuts*,1 DOUGHNUT,352,127,14.1g,6g,0.8g,0.1mg,363mg,4.3g,51.7g,1g,25.6g,1%,10%,3%,6%,"Donuts* (Yeast Donut Dough (DONUT MIX (enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin  mononitrate, riboflavin, folic acid), partially hydrogenated  soybean and cottonseed oil, dextrose, whey, salt, mono and diglyercides, defatted soy flour, leavening (baking soda, sodium acid pyrophosphate), sodium stearoyl lactylate, color added, azodicarbonamide, egg.  contains: wheat, milk, soy and egg ingredients), WATER, Shortening (interesterified soybean oil ), YEAST (instant yeast. )), Donut Glaze* (CONFECTIONERS SUGAR (sugar, cornstarch), DONUT GLAZE (sugar, water, honey, pectin, agar, sorbic acid, sodium benzoate.), WATER), VANILLA CREAM (modified cornstarch, cornstarch, sugar, salt, titanium dioxide, sodium  propionate, sodium hexametaphosphate, carboxymethylcellulose, artificial flavor, color (contains tartrazine)), RASPBERRY FILLING (water, sugar, raspberry puree, modified food starch, dextrose.  contains 2% or less of the following: citric acid, tapioca dextrin, salt, preservatives (potassium sorbate, sodium propionate, sodium benzoate), algin, sodium carboxymethylcellulose, carrageenan, red 40, artificial flavor. ), BLUEBERRY FILLING (water, high fructose corn syrup, blueberry puree, corn syrup, modified food starch. contains 2% or less of the following: propylene glycol, citric acid, preservatives (potassium sorbate, sodium benzoate), salt, red 40, blue 1, artificial flavor. ))",breakfast
4,"Oatmeal & Toppings, Large*",12 OZ,305,57,6.4g,1.6g,0g,0mg,593.3mg,9.4g,54.7g,8.1g,9.1g,6%,20%,0%,0%,"Cereal, Oatmeal** (WATER, OATMEAL (100% natural rolled oats.), SALT (salt, calcium silicate, dextrose, potassium iodide.)), CHOCOLATE CHIPS (semi sweet chocolate (sugar, chocolate, cocoa butter, milk fat, soy  lecithin, vanillin, artificial flavor, and milk).), CINNAMON, RAISINS, CRAISINS (cranberries, sugar, citric acid, elderberry juice concentrate, sunflower oil), BROWN SUGAR (brown sugar (cane sugar, cane syrups))",breakfast
5,"Oatmeal & Toppings, Small*",8 OZ,498,86,9.6g,4.1g,0g,0mg,401mg,8.2g,105.3g,17.2g,54.7g,22%,26%,1%,2%,"Cereal, Oatmeal** (WATER, OATMEAL (100% natural rolled oats.), SALT (salt, calcium silicate, dextrose, potassium iodide.)), CHOCOLATE CHIPS (semi sweet chocolate (sugar, chocolate, cocoa butter, milk fat, soy  lecithin, vanillin, artificial flavor, and milk).), CINNAMON, RAISINS, CRAISINS (cranberries, sugar, citric acid, elderberry juice concentrate, sunflower oil), BROWN SUGAR (brown sugar (cane sugar, cane syrups))",breakfast
6,"Quinoa & Toppings, Large*",12 OZ,692,93,10.3g,0.5g,0g,0mg,0.9mg,23g,121.2g,13.3g,8.2g,11%,40%,0%,0%,"Breakfast Quinoa (WATER, QUINOA (quinoa. )), CHOCOLATE CHIPS (semi sweet chocolate (sugar, chocolate, cocoa butter, milk fat, soy  lecithin, vanillin, artificial flavor, and milk).), CINNAMON, RAISINS, CRAISINS (cranberries, sugar, citric acid, elderberry juice concentrate, sunflower oil), BROWN SUGAR (brown sugar (cane sugar, cane syrups))",breakfast
7,"Quinoa & Toppings, Small*",8 OZ,756,110,12.2g,3.4g,0g,0mg,6mg,17.2g,149.6g,20.7g,54g,25%,39%,1%,2%,"Breakfast Quinoa (WATER, QUINOA (quinoa. )), CHOCOLATE CHIPS (semi sweet chocolate (sugar, chocolate, cocoa butter, milk fat, soy  lecithin, vanillin, artificial flavor, and milk).), CINNAMON, RAISINS, CRAISINS (cranberries, sugar, citric acid, elderberry juice concentrate, sunflower oil), BROWN SUGAR (brown sugar (cane sugar, cane syrups))",breakfast
8,Scrambled Egg*,1 EGG,89,55,6.1g,1.9g,0g,211.5mg,70.9mg,7.1g,0.6g,0g,0.6g,3%,4%,6%,0%,"EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",breakfast
9,Sundried Tomato Dip*,2 OZ,222,178,19.7g,11g,0.6g,62.4mg,208.3mg,4.9g,8.3g,1.3g,5.8g,7%,7%,17%,7%,"CREAM CHEESE (pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums). contains: milk ), SUNDRIED TOMATOES, FRESH ONIONS, WHITE PEPPER",breakfast
